transaction_id,date,day_of_week,time_slot,city,customer_type,category_a,category_b
TXN-09301,2024-01-01,Monday,Morning,Quito,New,Dairy products and eggs,Fruits and vegetables
TXN-09301,2024-01-01,Monday,Morning,Quito,New,Dairy products and eggs,Meats and sausages
TXN-09301,2024-01-01,Monday,Morning,Quito,New,Dairy products and eggs,Snacks and drinks
TXN-09301,2024-01-01,Monday,Morning,Quito,New,Fruits and vegetables,Meats and sausages
TXN-09301,2024-01-01,Monday,Morning,Quito,New,Fruits and vegetables,Snacks and drinks
TXN-09301,2024-01-01,Monday,Morning,Quito,New,Meats and sausages,Snacks and drinks
TXN-05239,2024-01-01,Monday,Morning,Quito,Regular,Dairy products and eggs,Meats and sausages
TXN-07747,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Meats and sausages
TXN-02683,2024-01-01,Monday,Morning,Guayaquil,New,Dairy products and eggs,Home cleaning
TXN-02683,2024-01-01,Monday,Morning,Guayaquil,New,Dairy products and eggs,Snacks and drinks
TXN-02683,2024-01-01,Monday,Morning,Guayaquil,New,Home cleaning,Snacks and drinks
TXN-09917,2024-01-01,Monday,Morning,Guayaquil,Regular,Dairy products and eggs,Fruits and vegetables
TXN-09917,2024-01-01,Monday,Morning,Guayaquil,Regular,Dairy products and eggs,Home cleaning
TXN-09917,2024-01-01,Monday,Morning,Guayaquil,Regular,Fruits and vegetables,Home cleaning
TXN-08472,2024-01-01,Monday,Morning,Guayaquil,Regular,Dairy products and eggs,Snacks and drinks
TXN-03182,2024-01-01,Monday,Morning,Quito,Regular,Dairy products and eggs,Fruits and vegetables
TXN-03182,2024-01-01,Monday,Morning,Quito,Regular,Dairy products and eggs,Meats and sausages
TXN-03182,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Meats and sausages
TXN-06268,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Home cleaning
TXN-06268,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Personal care
TXN-06268,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Snacks and drinks
TXN-06268,2024-01-01,Monday,Morning,Quito,Regular,Home cleaning,Personal care
TXN-06268,2024-01-01,Monday,Morning,Quito,Regular,Home cleaning,Snacks and drinks
TXN-06268,2024-01-01,Monday,Morning,Quito,Regular,Personal care,Snacks and drinks
TXN-06673,2024-01-01,Monday,Morning,Quito,Regular,Dairy products and eggs,Fruits and vegetables
TXN-06673,2024-01-01,Monday,Morning,Quito,Regular,Dairy products and eggs,Meats and sausages
TXN-06673,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Meats and sausages
TXN-04885,2024-01-01,Monday,Morning,Quito,Regular,Fruits and vegetables,Personal care
TXN-00148,2024-01-01,Monday,Afternoon,Cuenca,Regular,Dairy products and eggs,Home cleaning
TXN-00148,2024-01-01,Monday,Afternoon,Cuenca,Regular,Dairy products and eggs,Meats and sausages
TXN-00148,2024-01-01,Monday,Afternoon,Cuenca,Regular,Home cleaning,Meats and sausages
TXN-02115,2024-01-01,Monday,Afternoon,Quito,New,Fruits and vegetables,Home cleaning
TXN-02115,2024-01-01,Monday,Afternoon,Quito,New,Fruits and vegetables,Meats and sausages
TXN-02115,2024-01-01,Monday,Afternoon,Quito,New,Fruits and vegetables,Personal care
TXN-02115,2024-01-01,Monday,Afternoon,Quito,New,Home cleaning,Meats and sausages
TXN-02115,2024-01-01,Monday,Afternoon,Quito,New,Home cleaning,Personal care
TXN-02115,2024-01-01,Monday,Afternoon,Quito,New,Meats and sausages,Personal care
TXN-03817,2024-01-01,Monday,Afternoon,Guayaquil,New,Fruits and vegetables,Meats and sausages
TXN-03817,2024-01-01,Monday,Afternoon,Guayaquil,New,Fruits and vegetables,Snacks and drinks
TXN-03817,2024-01-01,Monday,Afternoon,Guayaquil,New,Meats and sausages,Snacks and drinks
TXN-07351,2024-01-01,Monday,Afternoon,Cuenca,New,Meats and sausages,Snacks and drinks
TXN-07468,2024-01-01,Monday,Afternoon,Quito,Regular,Fruits and vegetables,Home cleaning
TXN-05298,2024-01-01,Monday,Afternoon,Cuenca,Regular,Fruits and vegetables,Snacks and drinks
TXN-01223,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Dairy products and eggs,Home cleaning
TXN-01223,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Dairy products and eggs,Snacks and drinks
TXN-01223,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Home cleaning,Snacks and drinks
TXN-04173,2024-01-01,Monday,Afternoon,Quito,New,Home cleaning,Meats and sausages
TXN-04173,2024-01-01,Monday,Afternoon,Quito,New,Home cleaning,Snacks and drinks
TXN-04173,2024-01-01,Monday,Afternoon,Quito,New,Meats and sausages,Snacks and drinks
TXN-09621,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Dairy products and eggs,Fruits and vegetables
TXN-09621,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Dairy products and eggs,Snacks and drinks
TXN-09621,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Fruits and vegetables,Snacks and drinks
TXN-09366,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Dairy products and eggs,Personal care
TXN-01764,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Fruits and vegetables,Home cleaning
TXN-01764,2024-01-01,Monday,Afternoon,Guayaquil,Regular,Fruits and vegetables,Snacks and drinks
