transaction_id,date,time,day_of_week,time_slot,categories,city,customer_type,payment_method
TXN-09301,2024-01-01,09:01,Monday,Morning,"Fruits and vegetables, Dairy products and eggs, Meats and sausages, Snacks and drinks",Quito,New,Cash
TXN-05239,2024-01-01,09:07,Monday,Morning,"Dairy products and eggs, Meats and sausages",Quito,Regular,Cash
TXN-07747,2024-01-01,09:31,Monday,Morning,"Fruits and vegetables, Meats and sausages",Quito,Regular,Debit card
TXN-02683,2024-01-01,09:34,Monday,Morning,"Home cleaning, Snacks and drinks, Dairy products and eggs",Guayaquil,New,Cash
TXN-09917,2024-01-01,09:41,Monday,Morning,"Fruits and vegetables, Dairy products and eggs, Home cleaning",Guayaquil,Regular,Debit card
TXN-08472,2024-01-01,09:46,Monday,Morning,"Dairy products and eggs, Snacks and drinks",Guayaquil,Regular,Credit card
TXN-03182,2024-01-01,10:47,Monday,Morning,"Dairy products and eggs, Meats and sausages, Fruits and vegetables",Quito,Regular,Cash
TXN-06268,2024-01-01,10:55,Monday,Morning,"Fruits and vegetables, Home cleaning, Snacks and drinks, Personal care",Quito,Regular,Credit card
TXN-06673,2024-01-01,10:55,Monday,Morning,"Fruits and vegetables, Dairy products and eggs, Meats and sausages",Quito,Regular,Debit card
TXN-04885,2024-01-01,11:32,Monday,Morning,"Personal care, Fruits and vegetables",Quito,Regular,Credit card
TXN-00148,2024-01-01,12:25,Monday,Afternoon,"Meats and sausages, Dairy products and eggs, Home cleaning",Cuenca,Regular,Debit card
TXN-02115,2024-01-01,12:47,Monday,Afternoon,"Home cleaning, Fruits and vegetables, Meats and sausages, Personal care",Quito,New,Credit card
TXN-03817,2024-01-01,12:48,Monday,Afternoon,"Meats and sausages, Fruits and vegetables, Snacks and drinks",Guayaquil,New,Debit card
TXN-07351,2024-01-01,12:49,Monday,Afternoon,"Snacks and drinks, Meats and sausages",Cuenca,New,Cash
TXN-07468,2024-01-01,13:11,Monday,Afternoon,"Fruits and vegetables, Home cleaning",Quito,Regular,Cash
TXN-05298,2024-01-01,13:40,Monday,Afternoon,"Fruits and vegetables, Snacks and drinks",Cuenca,Regular,Cash
TXN-01223,2024-01-01,14:04,Monday,Afternoon,"Snacks and drinks, Dairy products and eggs, Home cleaning",Guayaquil,Regular,Debit card
TXN-04173,2024-01-01,14:12,Monday,Afternoon,"Snacks and drinks, Meats and sausages, Home cleaning",Quito,New,Credit card
